Timestamp,"Qualidade do Áudio
Clareza, mixagem e qualidade geral da produção musical","Criatividade e Originalidade
Singularidade, criatividade e grau de novidade da composição","Estilo e Género
Adequação ao estilo e género musical","Harmonia
Coesão e a fluidez das notas musicais  ","Melodia
Atratividade e memorabilidade das sequências melódicas","Ritmo
Dinâmica rítmica da música","Emoção
Capacidade da música de evocar sentimentos e emoções","Origem
A música foi composta por um humano ou por IA?","Qualidade do Áudio
Clareza, mixagem e a qualidade geral da produção musical","Criatividade e Originalidade
Singularidade, criatividade e grau de novidade da composição","Estilo e Género
Adequação ao estilo e género musical","Harmonia
Coesão e a fluidez das notas musicais  ","Melodia
Atratividade e memorabilidade das sequências melódicas","Ritmo
Dinâmica rítmica da música","Emoção
Capacidade da música de evocar sentimentos e emoções","Origem
A música foi composta por um humano ou por IA?","Qualidade do Áudio
Clareza, mixagem e a qualidade geral da produção musical","Criatividade e Originalidade
Singularidade, criatividade e grau de novidade da composição","Estilo e Género
Adequação ao estilo e género musical","Harmonia
Coesão e a fluidez das notas musicais  ","Melodia
Atratividade e memorabilidade das sequências melódicas","Ritmo
Dinâmica rítmica da música","Emoção
Capacidade da música de evocar sentimentos e emoções","Origem
A música foi composta por um humano ou por IA?"
5/17/2024 17:27:24,4,2,3,3,4,5,5,Inteligência Artificial,4,3,3,5,5,5,5,Humano,5,4,5,5,5,5,5,Humano
5/17/2024 17:28:21,5,5,4,5,5,5,4,Humano,5,4,4,5,4,4,4,Inteligência Artificial,5,5,5,5,5,5,4,Inteligência Artificial
5/17/2024 17:28:43,3,4,5,3,2,5,5,Inteligência Artificial,5,4,4,4,4,4,4,Inteligência Artificial,5,5,5,5,5,5,5,Humano
5/17/2024 17:29:13,2,2,4,2,1,3,3,Inteligência Artificial,4,3,1,4,4,4,3,Inteligência Artificial,5,5,5,5,5,5,5,Humano
5/17/2024 17:31:38,2,2,2,1,5,3,2,Inteligência Artificial,3,3,3,4,5,3,2,Inteligência Artificial,3,3,3,4,5,3,2,Inteligência Artificial
5/17/2024 17:34:46,3,2,3,2,3,3,2,Inteligência Artificial,3,3,3,3,3,3,3,Inteligência Artificial,3,3,4,3,3,3,2,Inteligência Artificial
5/17/2024 17:34:56,4,3,3,4,4,4,5,Humano,3,3,3,5,4,5,4,Inteligência Artificial,4,5,4,4,3,3,4,Humano
5/17/2024 17:37:54,2,1,3,3,4,2,1,Inteligência Artificial,5,3,4,5,3,4,2,Humano,4,2,4,4,4,5,3,Inteligência Artificial
5/17/2024 17:47:06,2,3,4,3,3,3,2,Inteligência Artificial,3,5,2,4,3,4,3,Inteligência Artificial,4,4,5,5,5,5,4,Inteligência Artificial
5/17/2024 17:47:34,4,4,4,3,3,3,1,Inteligência Artificial,4,4,4,4,4,4,2,Inteligência Artificial,4,2,4,3,3,3,3,Inteligência Artificial
5/17/2024 17:51:55,2,3,3,4,4,3,2,Inteligência Artificial,3,3,3,3,4,4,3,Inteligência Artificial,3,2,3,4,3,4,3,Inteligência Artificial
5/17/2024 17:53:05,5,4,4,5,4,5,5,Inteligência Artificial,5,4,4,5,5,5,5,Inteligência Artificial,5,4,4,5,5,5,5,Inteligência Artificial
5/17/2024 18:12:07,4,3,5,4,3,3,3,Humano,4,3,4,3,4,4,3,Inteligência Artificial,4,4,4,4,4,4,4,Inteligência Artificial
5/17/2024 18:17:22,2,1,4,3,3,2,1,Inteligência Artificial,4,4,5,5,5,5,4,Inteligência Artificial,3,3,4,4,3,4,2,Inteligência Artificial
5/17/2024 18:18:50,2,3,4,2,2,2,2,Inteligência Artificial,4,4,3,4,4,4,4,Inteligência Artificial,3,3,5,3,5,4,4,Inteligência Artificial
5/17/2024 18:25:44,1,1,4,2,1,2,1,Inteligência Artificial,2,3,4,4,3,3,3,Inteligência Artificial,4,3,5,5,5,5,4,Humano
5/17/2024 18:26:50,5,5,5,5,5,5,5,Humano,5,5,5,5,5,5,5,Humano,5,5,5,5,5,5,5,Humano
5/17/2024 18:29:07,4,2,3,2,2,3,1,Inteligência Artificial,3,2,4,3,2,3,2,Inteligência Artificial,4,3,5,4,3,4,3,Humano
5/17/2024 18:42:07,1,3,3,2,2,4,1,Inteligência Artificial,3,3,2,4,4,4,2,Inteligência Artificial,4,4,3,4,5,4,4,Humano
5/17/2024 18:42:25,2,2,4,3,4,3,2,Inteligência Artificial,4,4,4,4,3,4,3,Humano,5,5,5,4,4,5,4,Humano
5/17/2024 18:46:20,3,4,4,3,3,3,3,Inteligência Artificial,5,5,4,4,4,4,4,Humano,5,5,5,4,4,5,4,Humano
5/17/2024 18:54:41,3,3,2,2,3,2,1,Inteligência Artificial,3,3,2,2,1,2,1,Inteligência Artificial,3,3,3,4,3,3,1,Humano
5/17/2024 19:36:11,3,5,4,4,5,4,5,Inteligência Artificial,5,5,5,5,4,4,5,Humano,4,3,4,5,4,3,4,Inteligência Artificial
5/17/2024 20:41:41,3,5,4,4,4,4,4,Inteligência Artificial,4,3,4,5,4,4,4,Inteligência Artificial,4,4,4,3,5,3,5,Humano
5/17/2024 21:50:27,4,4,4,3,3,3,4,Inteligência Artificial,4,4,4,4,5,4,4,Humano,4,4,4,5,5,5,4,Inteligência Artificial
5/17/2024 22:07:29,2,2,3,4,4,3,4,Inteligência Artificial,2,3,2,3,2,3,3,Inteligência Artificial,2,2,4,4,4,4,4,Humano
5/17/2024 22:36:36,1,2,5,2,4,2,3,Inteligência Artificial,4,3,4,3,4,4,4,Inteligência Artificial,2,3,5,2,4,4,4,Humano
5/17/2024 22:38:54,2,4,3,3,1,2,1,Inteligência Artificial,4,4,4,4,4,4,4,Inteligência Artificial,5,5,5,5,5,5,5,Humano
5/17/2024 23:08:34,3,3,4,4,3,4,3,Humano,4,4,4,4,4,4,3,Humano,5,5,5,5,5,5,5,Humano
5/18/2024 1:32:17,5,5,5,5,5,5,5,Humano,5,5,5,5,5,5,5,Inteligência Artificial,5,5,5,5,5,5,5,Humano
5/18/2024 10:00:49,4,4,5,4,3,3,3,Inteligência Artificial,4,4,3,4,3,4,3,Humano,4,4,4,5,5,5,4,Humano
5/18/2024 13:34:07,5,3,3,4,3,2,2,Inteligência Artificial,5,4,4,4,4,4,4,Humano,5,4,4,4,4,4,4,Humano
5/18/2024 13:52:58,5,5,5,4,5,5,5,Humano,5,5,3,3,4,5,4,Inteligência Artificial,5,5,5,5,5,5,5,Humano
5/18/2024 14:39:24,2,3,4,3,4,4,2,Inteligência Artificial,3,3,2,4,3,4,3,Inteligência Artificial,3,3,4,4,5,4,3,Humano
5/18/2024 16:08:01,2,2,2,2,2,2,2,Inteligência Artificial,4,4,4,4,4,4,4,Humano,3,3,3,3,3,3,3,Inteligência Artificial
5/18/2024 16:27:06,2,2,2,3,3,2,1,Inteligência Artificial,4,4,4,4,4,4,4,Humano,4,4,4,4,4,4,4,Humano
5/18/2024 17:37:39,2,2,1,3,1,3,1,Inteligência Artificial,5,5,4,5,5,5,5,Humano,5,3,5,5,5,5,5,Humano
5/18/2024 18:08:53,5,3,4,5,4,5,4,Inteligência Artificial,5,3,5,5,4,5,4,Humano,5,3,4,5,4,5,4,Humano
5/20/2024 8:28:56,3,2,2,3,3,4,2,Inteligência Artificial,4,4,3,4,4,4,4,Inteligência Artificial,5,4,5,5,4,5,5,Humano
5/23/2024 16:28:19,2,3,3,3,3,3,3,Inteligência Artificial,4,3,4,4,4,4,4,Humano,4,5,4,4,4,4,5,Inteligência Artificial